,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-37.51290349493824,0.00974965458029204,6678.708809396742
1,500,0.19237410562257012,0.027389584028665398,0.002752756769302848,0.8319924902797673,0.0004448749537467957,18061.589373457762
2,1000,0.19237410562257012,0.027389584028665398,0.002752756769302848,0.8319924902797673,0.0004448749537467957,18061.589373457762
3,1500,0.19237410562257012,0.027389584028665398,0.002752756769302848,0.8319924902797673,0.0004448749537467957,18061.589373457762
4,2000,0.19237410562257012,0.027389584028665398,0.002752756769302848,0.8319924902797673,0.0004448749537467957,18061.589373457762
5,2500,0.19237410562257012,0.027389584028665398,0.002752756769302848,0.8319924902797673,0.0004448749537467957,18061.589373457762
6,3000,0.22009102084803497,0.029233578704358658,0.0029380852073236856,0.832485419928676,0.00045081588820178477,18062.576919396986
7,3500,0.22630309206053284,0.02864952757227623,0.002879385859944906,0.8325617156556276,0.0004520845805387266,18053.761395969865
8,4000,0.22630309206053284,0.02864952757227623,0.002879385859944906,0.8325617156556276,0.0004520845805387266,18053.761395969865
9,4500,0.22769681339928774,0.023604594740912296,0.002372351032848558,0.8326319659871991,0.0004534713227534001,18055.426410145654
10,5000,0.22769681339928774,0.023604594740912296,0.002372351032848558,0.8326319659871991,0.0004534713227534001,18055.426410145654
